Text,Label,ID,Offsets,,,
Funding Circle was created with a big idea:,None,article_00000.pre.xmi:001,[],,,
To revolutionize the outdated banking system and secure a better deal for everyone.,About,article_00000.pre.xmi:002,"[{u'text': u'revolutionize the outdated banking system and secure a better deal for everyone', u'endOffset': 82, u'beginOffset': 3, u'label': u'Purpose'}]",,,
"Thousands of loans later, we've helped businesses expand, investors prosper and the economy grow.",About,article_00000.pre.xmi:003,"[{u'text': u'we', u'endOffset': 28, u'beginOffset': 26, u'label': u'Company'}, {u'text': u'businesses expand', u'endOffset': 56, u'beginOffset': 39, u'label': u'MarketProfile'}, {u'text': u'investors prosper', u'endOffset': 75, u'beginOffset': 58, u'label': u'MarketProfile'}]",,,
We've taken this progress global.,About,article_00000.pre.xmi:004,"[{u'text': u'We', u'endOffset': 2, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'global', u'endOffset': 32, u'beginOffset': 26, u'label': u'MarketLocation'}]",,,
"Funding Circle is the world's leading marketplace exclusively focused on small businesses — more than $3bn has been lent to 25,000 businesses in the UK, USA, Germany and the Netherlands.",About,article_00000.pre.xmi:005,"[{u'text': u'Funding Circle', u'endOffset': 14, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'marketplace', u'endOffset': 49, u'beginOffset': 38, u'label': u'ProductService'}, {u'text': u'small businesses', u'endOffset': 89, u'beginOffset': 73, u'label': u'MarketProfile'}]",,,
"Today, businesses can borrow directly from a wide range of investors, including more than 60,000 people, the UK Government, local councils, a university and a number of financial organizations.",None,article_00000.pre.xmi:006,[],,,
Funding Circle in the U.S.,None,article_00000.pre.xmi:007,[],,,
What makes us different?,None,article_00000.pre.xmi:008,[],,,
Our roots are in small business.,None,article_00000.pre.xmi:009,[],,,
"Our U.S. co-founders started Funding Circle because they were small business owners themselves; they had experienced first-hand how hard it is to access finance, even when you have a successful business that's well along its way.",About,article_00000.pre.xmi:010,"[{u'text': u'Funding Circle', u'endOffset': 43, u'beginOffset': 29, u'label': u'Company'}, {u'text': u'access finance', u'endOffset': 160, u'beginOffset': 146, u'label': u'ProductService'}]",,,
"After opening their 96th loan rejection letter, they realized something was wrong.",None,article_00000.pre.xmi:011,[],,,
The traditional bank loan system was broken.,None,article_00000.pre.xmi:012,[],,,
"So, they set out to build a better solution for American small business owners.",About,article_00000.pre.xmi:013,"[{u'text': u'they', u'endOffset': 8, u'beginOffset': 4, u'label': u'Company'}, {u'text': u'small business owners', u'endOffset': 78, u'beginOffset': 57, u'label': u'MarketProfile'}]",,,
Our Story,None,article_00002.pre.xmi:001,[],,,
Our Story Through the Tea Leaves,None,article_00002.pre.xmi:002,[],,,
"34 years ago in Salisbury, Connecticut, proprietor of the historic White Hart Inn, John Harney, developed a passion for fine teas.",None,article_00002.pre.xmi:003,[],,,
"John was introduced to the world of tea by Stanley Mason, who turned to creating his craft tea blends after years in the corporate world of tea in London & New York.",None,article_00002.pre.xmi:004,[],,,
"Over time, Mason taught John both the art and business of the craft.",None,article_00002.pre.xmi:005,[],,,
"Starting production out of his basement in 1983, John began his journey in mastering the art of tea blending.",None,article_00002.pre.xmi:006,[],,,
"Serving his distinctive blends with inn guests, he soon found they were coming back for more.",None,article_00002.pre.xmi:007,[],,,
"Never did John Harney imagine that his small home-run business in Salisbury, Connecticut would turn into a global operation, now headquartered in Millerton, New York filling 90,000 square feet of warehouse space and a new bottling plant in Hudson, New York, and employing over 200 people.",None,article_00002.pre.xmi:008,[],,,
"The company, which sources, blends, and packages their product from start to finish, has grown from their original six teas, to more than three hundred.",About,article_00002.pre.xmi:009,"[{u'text': 'company', u'endOffset': 11, u'beginOffset': 4, u'label': u'Company'}, {u'text': 'teas', u'endOffset': 123, u'beginOffset': 119, u'label': u'ProductService'}]",,,
John brought in his two sons: Mike & Paul.,None,article_00002.pre.xmi:010,[],,,
Their story truly captures the essence of American Business Ingenuity.,None,article_00002.pre.xmi:011,[],,,
Harney & Sons builds on a commitment to deliver customers the finest quality tea possible.,About,article_00002.pre.xmi:012,"[{u'text': 'Harney & Sons', u'endOffset': 13, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'finest quality tea possible', u'endOffset': 89, u'beginOffset': 62, u'label': u'ValueProposition'}]",,,
"This promise, made over 30 years ago, serves as the company's guiding principle.",None,article_00002.pre.xmi:013,[],,,
John's sons carry on the tradition.,None,article_00002.pre.xmi:014,[],,,
"Today, Harney & Sons Tea remains family owned and managed, with three generations of Harneys preserving John's tradition of fine tea and traveling the world in search of the best ingredients.",None,article_00002.pre.xmi:015,[],,,
"It is not only the Harney mission to deliver quality tea products to their customers, but also to educate the world of tea history and taste.",About,article_00002.pre.xmi:016,"[{u'text': 'Harney', u'endOffset': 25, u'beginOffset': 19, u'label': u'Company'}, {u'text': 'quality tea products to their customers, but also to educate the world of tea history and taste', u'endOffset': 140, u'beginOffset': 45, u'label': u'Purpose'}]",,,
"Whether through their dedicated customer service team, their published guides to tea drinking, or their two tea tasting shops, the Harney & Sons team works to pass on their passion for tea to a broad audience.",About,article_00002.pre.xmi:017,"[{u'text': 'Harney & Sons', u'endOffset': 144, u'beginOffset': 131, u'label': u'Company'}, {u'text': 'pass on their passion for tea to a broad audience', u'endOffset': 208, u'beginOffset': 159, u'label': u'Purpose'}]",,,
Harney & Sons remains committed to delivering their customers a superior tea drinking experience.,About,article_00002.pre.xmi:018,"[{u'text': 'Harney & Sons', u'endOffset': 13, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'superior tea drinking experience', u'endOffset': 96, u'beginOffset': 64, u'label': u'ValueProposition'}]",,,
(888) 427-6398,None,article_00002.pre.xmi:019,[],,,
Please click here to view BC Iron's latest investor presentation.,None,article_00003.pre.xmi:001,[],,,
Subscribe,None,article_00003.pre.xmi:002,[],,,
Home | About Us | People,None,article_00003.pre.xmi:003,[],,,
People,None,article_00003.pre.xmi:004,[],,,
